subject,unit,topic,start_page,end_page,source_file,num_mcqs
English,Lesson 1,"Editing and proofreading skills, Multiple paragraphs essay/stories",8,20,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 2,Summary writing,21,32,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 3,Summary Activity,33,42,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 4,"Objective Summary, Activity, Paraphrasing Skills",43,50,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 5,"Editing and proofreading skills to a first draft",51,61,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 6,"Apply the techniques of writing the first draft",62,71,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 7,"Gather relevant information from multiple authentic sources",72,80,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 8,"Paraphrase the poem stanza wise",81,87,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 9,"Multiple paragraphs of free writing for fluency",88,99,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 10,"Book Report Writing",100,108,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 11,"Paraphrase the poem stanza wise",109,114,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 12,"Write and critique (self/peer checking) the final draft",115,126,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 13,"Descriptive composition",127,140,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 14,"Formal letters and emails to people in extended environment",141,148,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 15,"Formal Letter Writing Task",149,,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-12-english-book-2025.txt,10
English,Lesson 1,"Write a paragraph with the help of mind map",6,14,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 2,"Narrative writing using transitional devices",15,24,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 3,"Poem's summary, Paraphrasing the poem",25,39,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 4,"Descriptive essay writing, Proof reading techniques",40,54,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 5,"Précis Writing, Writing mechanics",55,69,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 6,"Poem's Theme Identification, Paraphrasing the poem",70,80,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
English,Lesson 7,"Informative /explanatory texts to examine and convey complex ideas",81,90,C:\Users\User\OneDrive\Desktop\mcq-generator-main\mcq-generator\data\english\v2-11-english-2025.txt,10
